Suma de Dosis,Estado Fenológico,Fecha Fin,Fecha Inicio,Producto Aplicado,Source.Name,Suma de Total concentración,Suma de Total superficie,Unidad,Suma de Mojamiento (HL/ha),ID Producto,Ensayo ID,Estado por Temporada,Sin uso,Suma de Superficie ensayo,Temporada,Tipo de Compra,Tipo de Compra 2,TipoFiltro,Recuento de Aplicación ID
100,Crecimiento Vegetativo,2024-10-20 00:00:00,2024-10-15 00:00:00,Nacillus,Aplicaciones_Almendro_Angol.xlsx,0.23265,0.0423,Angol,5.5,44,16,Para Comprar 2024-2025,Si,0.423,2024-2025,Positivo,Para Comprar,Realizadas,1
100,Crecimiento Vegetativo,2024-10-20 00:00:00,2024-10-15 00:00:00,Nacillus,Aplicaciones_Almendro_Los Sauces.xlsx,0.09240000000000001,0.026400000000000003,Los Sauces,3.5,44,6,Para Comprar 2024-2025,Si,0.264,2024-2025,Positivo,Para Comprar,Realizadas,1
100,Crecimiento Vegetativo,2024-10-20 00:00:00,2024-10-15 00:00:00,Nacillus,Aplicaciones_Cerezo_Angol.xlsx,0.30360000000000004,0.055200000000000006,Angol,5.5,44,15,Para Comprar 2024-2025,Si,0.552,2024-2025,Positivo,Para Comprar,Realizadas,1
100,Crecimiento Vegetativo,2024-10-20 00:00:00,2024-10-15 00:00:00,Nacillus,Aplicaciones_Cerezo_Carillanca.xlsx,0.666,0.12,Carillanca,5.55,44,20,Para Comprar 2024-2025,Si,1.2,2024-2025,Positivo,Para Comprar,Realizadas,1
100,Crecimiento Vegetativo,2024-10-20 00:00:00,2024-10-15 00:00:00,Nacillus,Aplicaciones_Cerezo_Los Sauces.xlsx,0.22080000000000002,0.055200000000000006,Los Sauces,4,44,9,Para Comprar 2024-2025,Si,0.552,2024-2025,Positivo,Para Comprar,Realizadas,1
400,Crecimiento Vegetativo,2024-10-21 00:00:00,2024-10-16 00:00:00,Aminoterra,Aplicaciones_Almendro_Angol.xlsx,0.9306,0.1692,Angol,5.5,5,16,Para Comprar 2024-2025,Si,0.423,2024-2025,Positivo,Para Comprar,Realizadas,1
400,Crecimiento Vegetativo,2024-10-21 00:00:00,2024-10-16 00:00:00,Aminoterra,Aplicaciones_Almendro_Los Sauces.xlsx,0.36960000000000004,0.10560000000000001,Los Sauces,3.5,5,6,Para Comprar 2024-2025,Si,0.264,2024-2025,Positivo,Para Comprar,Realizadas,1
400,Crecimiento Vegetativo,2024-10-21 00:00:00,2024-10-16 00:00:00,Aminoterra,Aplicaciones_Cerezo_Angol.xlsx,1.2144000000000001,0.22080000000000002,Angol,5.5,5,15,Para Comprar 2024-2025,Si,0.552,2024-2025,Positivo,Para Comprar,Realizadas,1
400,Crecimiento Vegetativo,2024-10-21 00:00:00,2024-10-16 00:00:00,Aminoterra,Aplicaciones_Cerezo_Carillanca.xlsx,2.664,0.48,Carillanca,5.55,5,20,Para Comprar 2024-2025,Si,1.2,2024-2025,Positivo,Para Comprar,Realizadas,1
400,Crecimiento Vegetativo,2024-10-21 00:00:00,2024-10-16 00:00:00,Aminoterra,Aplicaciones_Cerezo_Los Sauces.xlsx,0.8832000000000001,0.22080000000000002,Los Sauces,4,5,9,Para Comprar 2024-2025,Si,0.552,2024-2025,Positivo,Para Comprar,Realizadas,1
500,Crecimiento Vegetativo,2024-10-21 00:00:00,2024-10-16 00:00:00,Stimplex,Aplicaciones_Almendro_Angol.xlsx,1.16325,0.2115,Angol,5.5,64,16,Para Comprar 2024-2025,Si,0.423,2024-2025,Positivo,Para Comprar,Realizadas,1
500,Crecimiento Vegetativo,2024-10-21 00:00:00,2024-10-16 00:00:00,Stimplex,Aplicaciones_Almendro_Los Sauces.xlsx,0.462,0.132,Los Sauces,3.5,64,6,Para Comprar 2024-2025,Si,0.264,2024-2025,Positivo,Para Comprar,Realizadas,1
500,Crecimiento Vegetativo,2024-10-21 00:00:00,2024-10-16 00:00:00,Stimplex,Aplicaciones_Cerezo_Angol.xlsx,1.5180000000000002,0.276,Angol,5.5,64,15,Para Comprar 2024-2025,Si,0.552,2024-2025,Positivo,Para Comprar,Realizadas,1
500,Crecimiento Vegetativo,2024-10-21 00:00:00,2024-10-16 00:00:00,Stimplex,Aplicaciones_Cerezo_Carillanca.xlsx,3.33,0.6,Carillanca,5.55,64,20,Para Comprar 2024-2025,Si,1.2,2024-2025,Positivo,Para Comprar,Realizadas,1
500,Crecimiento Vegetativo,2024-10-21 00:00:00,2024-10-16 00:00:00,Stimplex,Aplicaciones_Cerezo_Los Sauces.xlsx,1.104,0.276,Los Sauces,4,64,9,Para Comprar 2024-2025,Si,0.552,2024-2025,Positivo,Para Comprar,Realizadas,1
80,Crecimiento Vegetativo,2024-10-25 00:00:00,2024-10-20 00:00:00,Agrocopper SP,Aplicaciones_Castaño_Cunco.xlsx,0.03696,0.033600000000000005,Cunco,1.1,2,4,Para Comprar 2024-2025,Si,0.42,2024-2025,Positivo,Para Comprar,Realizadas,1
400,Crecimiento Vegetativo,2024-10-25 00:00:00,2024-10-20 00:00:00,Azufre Foable,Aplicaciones_Vid_Carillanca.xlsx,0.048,0.02,Carillanca,2.4,9,22,Para Comprar 2024-2025,Si,0.05,2024-2025,Positivo,Para Comprar,Realizadas,1
500,Crecimiento Vegetativo,2024-10-25 00:00:00,2024-10-20 00:00:00,Kelpak,Aplicaciones_Vid_Carillanca.xlsx,0.06,0.025,Carillanca,2.4,42,22,Para Comprar 2024-2025,Si,0.05,2024-2025,Positivo,Para Comprar,Realizadas,1
100,Crecimiento Vegetativo,2024-10-26 00:00:00,2024-10-21 00:00:00,Mamull,Aplicaciones_Arandano_Carillanca.xlsx,0.28,0.08,Carillanca,3.5,43,17,Para Comprar 2024-2025,Si,0.8,2024-2025,Positivo,Para Comprar,Realizadas,1
100,Crecimiento Vegetativo,2024-10-26 00:00:00,2024-10-21 00:00:00,Mamull,Aplicaciones_Arandano_Faja Maisan.xlsx,0.049,0.0245,Faja Maisan,2,43,13,Para Comprar 2024-2025,Si,0.245,2024-2025,Positivo,Para Comprar,Realizadas,1
100,Crecimiento Vegetativo,2024-10-26 00:00:00,2024-10-21 00:00:00,Mamull,Aplicaciones_Arandano_Loncoche.xlsx,0.05,0.025,Loncoche,2,43,11,Para Comprar 2024-2025,Si,0.25,2024-2025,Positivo,Para Comprar,Realizadas,1
100,Crecimiento Vegetativo,2024-10-26 00:00:00,2024-10-21 00:00:00,Nacillus,Aplicaciones_Arandano_Carillanca.xlsx,0.28,0.08,Carillanca,3.5,44,17,Para Comprar 2024-2025,Si,0.8,2024-2025,Positivo,Para Comprar,Realizadas,1
100,Crecimiento Vegetativo,2024-10-26 00:00:00,2024-10-21 00:00:00,Nacillus,Aplicaciones_Arandano_Faja Maisan.xlsx,0.049,0.0245,Faja Maisan,2,44,13,Para Comprar 2024-2025,Si,0.245,2024-2025,Positivo,Para Comprar,Realizadas,1
100,Crecimiento Vegetativo,2024-10-26 00:00:00,2024-10-21 00:00:00,Nacillus,Aplicaciones_Arandano_Loncoche.xlsx,0.05,0.025,Loncoche,2,44,11,Para Comprar 2024-2025,Si,0.25,2024-2025,Positivo,Para Comprar,Realizadas,1
70,Crecimiento Vegetativo,2024-10-26 00:00:00,2024-10-21 00:00:00,Nufilm-17,Aplicaciones_Arandano_Carillanca.xlsx,0.196,0.056,Carillanca,3.5,45,17,Stock Suficiente 2024-2025,Si,0.8,2024-2025,Negativo,Stock Suficiente,Realizadas,1
70,Crecimiento Vegetativo,2024-10-26 00:00:00,2024-10-21 00:00:00,Nufilm-17,Aplicaciones_Arandano_Faja Maisan.xlsx,0.0343,0.01715,Faja Maisan,2,45,13,Stock Suficiente 2024-2025,Si,0.245,2024-2025,Negativo,Stock Suficiente,Realizadas,1
